slug,findings_total,findings_kept,strong_pattern_hits,unique_patterns,unique_files,php_hits,js_hits,md_txt_hits,best_pattern_score,total_weighted_score,confidence,matched_patterns,matched_files_sample
ai-workflow-automation-ai-agent-hub,369,120,108,6,63,87,16,15,100,15253,high,"abilities_api,model_context_protocol,register_abilities,register_ability,wordpress_abilities_api,wp_abilities",wp_abilities_data\extracted\ai-workflow-automation-ai-agent-hub\ai-workflow-automation-ai-agent-hub\ai-workflow-automation-ai-agent-hub.php | wp_abilities_data\extracted\ai-workflow-automation-ai-agent-hub\ai-workflow-automation-ai-agent-hub\readme.txt | wp_abilities_data\extracted\ai-workflow-automation-ai-agent-hub\ai-workflow-automation-ai-agent-hub\docs\excerpt-generation-plan.md | wp_abilities_data\extracted\ai-workflow-automation-ai-agent-hub\ai-workflow-automation-ai-agent-hub\docs\for-ai.md | wp_abilities_data\extracted\ai-workflow-automation-ai-agent-hub\ai-workflow-automation-ai-agent-hub\docs\README.md
albert-ai-butler,305,61,52,5,45,48,0,11,100,7316,high,"abilities_api,model_context_protocol,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\albert-ai-butler\albert-ai-butler\README.md | wp_abilities_data\extracted\albert-ai-butler\albert-ai-butler\readme.txt | wp_abilities_data\extracted\albert-ai-butler\albert-ai-butler\vendor\composer\installed.json | wp_abilities_data\extracted\albert-ai-butler\albert-ai-butler\vendor\wordpress\mcp-adapter\composer.json | wp_abilities_data\extracted\albert-ai-butler\albert-ai-butler\vendor\wordpress\mcp-adapter\mcp-adapter.php
ai,129,40,39,6,24,27,10,3,100,5385,high,"abilities_api,model_context_protocol,register_abilities,register_ability,wordpress_abilities_api,wp_abilities",wp_abilities_data\extracted\ai\ai\readme.txt | wp_abilities_data\extracted\ai\ai\includes\bootstrap.php | wp_abilities_data\extracted\ai\ai\includes\Experiments\Abilities_Explorer\Abilities_Explorer.php | wp_abilities_data\extracted\ai\ai\includes\Experiments\Abilities_Explorer\Ability_Handler.php | wp_abilities_data\extracted\ai\ai\includes\Experiments\Abilities_Explorer\Admin_Page.php
sureforms,109,36,35,5,13,10,3,2,100,4599,high,"abilities_api,model_context_protocol,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\sureforms\sureforms\readme.txt | wp_abilities_data\extracted\sureforms\sureforms\admin\analytics.php | wp_abilities_data\extracted\sureforms\sureforms\languages\sureforms-de_DE-51635fe6489fc8288d603fe596c755ca.json | wp_abilities_data\extracted\sureforms\sureforms\languages\sureforms-es_ES-51635fe6489fc8288d603fe596c755ca.json | wp_abilities_data\extracted\sureforms\sureforms\languages\sureforms-fr_FR-51635fe6489fc8288d603fe596c755ca.json
abilities-bridge,123,35,30,5,15,30,1,4,100,4417,high,"abilities_api,model_context_protocol,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\abilities-bridge\abilities-bridge\abilities-bridge.php | wp_abilities_data\extracted\abilities-bridge\abilities-bridge\CHANGELOG.md | wp_abilities_data\extracted\abilities-bridge\abilities-bridge\README.md | wp_abilities_data\extracted\abilities-bridge\abilities-bridge\readme.txt | wp_abilities_data\extracted\abilities-bridge\abilities-bridge\admin\class-abilities-bridge-ability-permissions-admin.php
miniorange-saml-20-single-sign-on,24,14,14,4,7,12,0,2,100,1785,high,"abilities_api,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\miniorange-saml-20-single-sign-on\miniorange-saml-20-single-sign-on\class-mo-saml-utilities.php | wp_abilities_data\extracted\miniorange-saml-20-single-sign-on\miniorange-saml-20-single-sign-on\login.php | wp_abilities_data\extracted\miniorange-saml-20-single-sign-on\miniorange-saml-20-single-sign-on\readme.txt | wp_abilities_data\extracted\miniorange-saml-20-single-sign-on\miniorange-saml-20-single-sign-on\handlers\class-mo-saml-base-handler.php | wp_abilities_data\extracted\miniorange-saml-20-single-sign-on\miniorange-saml-20-single-sign-on\handlers\class-mo-saml-register-abilities.php
miniorange-ai-agent,31,14,14,4,5,10,2,2,100,1769,high,"abilities_api,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\miniorange-ai-agent\miniorange-ai-agent\moaiagent-bot.php | wp_abilities_data\extracted\miniorange-ai-agent\miniorange-ai-agent\readme.txt | wp_abilities_data\extracted\miniorange-ai-agent\miniorange-ai-agent\build\admin.js | wp_abilities_data\extracted\miniorange-ai-agent\miniorange-ai-agent\includes\class-moaiagent-abilities.php | wp_abilities_data\extracted\miniorange-ai-agent\miniorange-ai-agent\includes\class-moaiagent-rest.php
designsetgo,60,13,13,4,8,12,0,1,100,1755,high,"abilities_api,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\designsetgo\designsetgo\readme.txt | wp_abilities_data\extracted\designsetgo\designsetgo\includes\class-plugin.php | wp_abilities_data\extracted\designsetgo\designsetgo\includes\abilities\class-abilities-registry.php | wp_abilities_data\extracted\designsetgo\designsetgo\includes\abilities\class-abstract-ability.php | wp_abilities_data\extracted\designsetgo\designsetgo\includes\abilities\class-block-schema-loader.php
divewp-boost-site-performance,49,14,12,6,5,11,0,3,100,1670,high,"abilities_api,model_context_protocol,register_abilities,register_ability,wordpress_abilities_api,wp_abilities",wp_abilities_data\extracted\divewp-boost-site-performance\divewp-boost-site-performance\README.txt | wp_abilities_data\extracted\divewp-boost-site-performance\divewp-boost-site-performance\includes\class-divewp-abilities.php | wp_abilities_data\extracted\divewp-boost-site-performance\divewp-boost-site-performance\includes\class-divewp-main.php | wp_abilities_data\extracted\divewp-boost-site-performance\divewp-boost-site-performance\includes\features\class-ai-capabilities.php | wp_abilities_data\extracted\divewp-boost-site-performance\divewp-boost-site-performance\includes\features\server-insights\class-server-insights-new.php
stifli-flex-mcp,51,15,11,4,6,10,1,4,95,1592,high,"abilities_api,model_context_protocol,register_abilities,wordpress_abilities_api",wp_abilities_data\extracted\stifli-flex-mcp\stifli-flex-mcp\mod.php | wp_abilities_data\extracted\stifli-flex-mcp\stifli-flex-mcp\readme.txt | wp_abilities_data\extracted\stifli-flex-mcp\stifli-flex-mcp\stifli-flex-mcp.php | wp_abilities_data\extracted\stifli-flex-mcp\stifli-flex-mcp\assets\admin-abilities.js | wp_abilities_data\extracted\stifli-flex-mcp\stifli-flex-mcp\models\model.php
bp-better-messages,22,11,11,4,9,9,0,2,100,1400,high,"abilities_api,register_abilities,register_ability,wordpress_abilities_api",wp_abilities_data\extracted\bp-better-messages\bp-better-messages\readme.txt | wp_abilities_data\extracted\bp-better-messages\bp-better-messages\inc\capabilities.php | wp_abilities_data\extracted\bp-better-messages\bp-better-messages\inc\abilities\abilities.php | wp_abilities_data\extracted\bp-better-messages\bp-better-messages\inc\abilities\conversations.php | wp_abilities_data\extracted\bp-better-messages\bp-better-messages\inc\abilities\messaging.php
query-all-the-post-types,20,11,11,5,3,8,0,3,100,1290,high,"abilities_api,register_abilities,register_ability,wordpress_abilities_api,wp_abilities",wp_abilities_data\extracted\query-all-the-post-types\query-all-the-post-types\readme.txt | wp_abilities_data\extracted\query-all-the-post-types\query-all-the-post-types\includes\class-qatp-abilities.php | wp_abilities_data\extracted\query-all-the-post-types\query-all-the-post-types\includes\class-qatp-admin-page.php
